lr,dropout,batch_size,seed,macro_f1
0.001,0.1,16,42,0.805053047125586
0.001,0.1,16,43,0.8873456790123457
0.001,0.1,16,44,0.8275664445877212
0.001,0.2,16,42,0.71969868173258
0.001,0.2,16,43,0.8183064892623716
0.001,0.2,16,44,0.8421585559958008
0.001,0.3,16,42,0.8177196804647785
0.001,0.3,16,43,0.8507936507936508
0.001,0.3,16,44,0.8363573883161513
0.001,0.4,16,42,0.8418784439509829
0.001,0.4,16,43,0.8600668337510443
0.001,0.4,16,44,0.7382608695652174
0.001,0.1,32,42,0.8146807440925089
0.001,0.1,32,43,0.7736198139388756
0.001,0.1,32,44,0.829086660570964
0.001,0.2,32,42,0.7773741743074041
0.001,0.2,32,43,0.8759398496240601
0.001,0.2,32,44,0.8125605337126215
0.001,0.3,32,42,0.7876952462723944
0.001,0.3,32,43,0.8563573883161513
0.001,0.3,32,44,0.797546376902799
0.001,0.4,32,42,0.7845767314960826
0.001,0.4,32,43,0.8096907216494845
0.001,0.4,32,44,0.806678180771445
0.001,0.1,64,42,0.7455347384855582
0.001,0.1,64,43,0.8160147651461275
0.001,0.1,64,44,0.783816425120773
0.001,0.2,64,42,0.7455347384855582
0.001,0.2,64,43,0.7740420073753406
0.001,0.2,64,44,0.8141500274882736
0.001,0.3,64,42,0.7792742972775907
0.001,0.3,64,43,0.7740429505135387
0.001,0.3,64,44,0.8018425520295378
0.001,0.4,64,42,0.7476177623546044
0.001,0.4,64,43,0.7971537732400336
0.001,0.4,64,44,0.8380509747925825
0.0001,0.1,16,42,0.8390491452991453
0.0001,0.1,16,43,0.7815909090909091
0.0001,0.1,16,44,0.7534722222222222
0.0001,0.2,16,42,0.8116941232124478
0.0001,0.2,16,43,0.7534722222222222
0.0001,0.2,16,44,0.7459691879068742
0.0001,0.3,16,42,0.8390491452991453
0.0001,0.3,16,43,0.7825297822293041
0.0001,0.3,16,44,0.7521763755742485
0.0001,0.4,16,42,0.7883640843295909
0.0001,0.4,16,43,0.7679219836082581
0.0001,0.4,16,44,0.7527147766323022
0.0001,0.1,32,42,0.798294687768372
0.0001,0.1,32,43,0.8228178694158075
0.0001,0.1,32,44,0.6968599033816426
0.0001,0.2,32,42,0.798294687768372
0.0001,0.2,32,43,0.7641604634873147
0.0001,0.2,32,44,0.7292898590770931
0.0001,0.3,32,42,0.8083033144173041
0.0001,0.3,32,43,0.7449891586017241
0.0001,0.3,32,44,0.7186413725203155
0.0001,0.4,32,42,0.8017623716153128
0.0001,0.4,32,43,0.7516623727150042
0.0001,0.4,32,44,0.7126681562165432
0.0001,0.1,64,42,0.8148342670401494
0.0001,0.1,64,43,0.7855027819566827
0.0001,0.1,64,44,0.6968599033816426
0.0001,0.2,64,42,0.7883640843295909
0.0001,0.2,64,43,0.7757176436421719
0.0001,0.2,64,44,0.6910288025386214
0.0001,0.3,64,42,0.7794588773724594
0.0001,0.3,64,43,0.7695315956185521
0.0001,0.3,64,44,0.6968599033816426
0.0001,0.4,64,42,0.7883640843295909
0.0001,0.4,64,43,0.7793884069607108
0.0001,0.4,64,44,0.7115696977765943
1e-05,0.1,16,42,0.7650479034126833
1e-05,0.1,16,43,0.798294687768372
1e-05,0.1,16,44,0.7136225476651008
1e-05,0.2,16,42,0.7440734252328456
1e-05,0.2,16,43,0.7636371772497427
1e-05,0.2,16,44,0.7216995677191512
1e-05,0.3,16,42,0.7679219836082581
1e-05,0.3,16,43,0.7883640843295909
1e-05,0.3,16,44,0.7216995677191512
1e-05,0.4,16,42,0.7372704128023276
1e-05,0.4,16,43,0.7742378030108159
1e-05,0.4,16,44,0.6966592640351505
1e-05,0.1,32,42,0.7883640843295909
1e-05,0.1,32,43,0.7949242424242424
1e-05,0.1,32,44,0.7077922077922079
1e-05,0.2,32,42,0.7548500881834214
1e-05,0.2,32,43,0.7819654030180345
1e-05,0.2,32,44,0.6968599033816426
1e-05,0.3,32,42,0.7443274853801171
1e-05,0.3,32,43,0.7718017875085939
1e-05,0.3,32,44,0.7173579109062981
1e-05,0.4,32,42,0.7628782100177981
1e-05,0.4,32,43,0.7657060474998104
1e-05,0.4,32,44,0.7232620320855615
1e-05,0.1,64,42,0.0425531914893617
1e-05,0.1,64,43,0.7918235968550434
1e-05,0.1,64,44,0.6909014604666779
1e-05,0.2,64,42,0.0425531914893617
1e-05,0.2,64,43,0.7825297822293041
1e-05,0.2,64,44,0.6909014604666779
1e-05,0.3,64,42,0.0425531914893617
1e-05,0.3,64,43,0.7825297822293041
1e-05,0.3,64,44,0.6909014604666779
1e-05,0.4,64,42,0.0425531914893617
1e-05,0.4,64,43,0.14822238129324744
1e-05,0.4,64,44,0.6810489183560713
