epoch,train_loss,train_acc,val_loss,val_acc
1,1.210924,0.327032,1.034589,0.704545
2,1.096930,0.500945,0.953912,0.681818
3,0.926014,0.589792,0.897398,0.780303
4,0.750232,0.671078,0.817494,0.803030
5,0.814737,0.672968,0.818775,0.840909
6,0.708529,0.727788,0.748738,0.840909
7,0.733093,0.727788,0.727403,0.848485
8,0.701501,0.724008,0.729453,0.810606
9,0.596655,0.809074,0.730327,0.840909
10,0.610233,0.780718,0.704443,0.856061
11,0.547703,0.818526,0.668471,0.863636
12,0.503651,0.841210,0.705395,0.856061
13,0.499755,0.852552,0.680527,0.863636
14,0.510206,0.841210,0.677739,0.856061
15,0.478320,0.835539,0.602940,0.840909
16,0.454870,0.837429,0.618435,0.848485
17,0.433580,0.858223,0.621889,0.840909
18,0.377029,0.884688,0.618207,0.856061
19,0.428528,0.856333,0.641821,0.833333
20,0.415725,0.871456,0.653090,0.856061
21,0.324681,0.905482,0.590929,0.878788
22,0.337924,0.903592,0.635124,0.863636
23,0.330822,0.892250,0.605049,0.878788
24,0.334402,0.909263,0.619842,0.878788
25,0.304531,0.903592,0.618187,0.886364
26,0.268315,0.931947,0.553824,0.871212
27,0.271000,0.941399,0.549777,0.878788
28,0.281309,0.926276,0.583241,0.886364
29,0.281897,0.894140,0.579141,0.886364
30,0.241558,0.931947,0.537467,0.856061
31,0.256631,0.918715,0.602495,0.886364
32,0.281750,0.920605,0.599149,0.886364
33,0.262297,0.935728,0.568872,0.878788
34,0.236782,0.930057,0.568194,0.878788
35,0.240976,0.914934,0.568052,0.863636
36,0.201558,0.937618,0.630936,0.863636
37,0.220275,0.939509,0.657626,0.878788
38,0.199498,0.937618,0.595968,0.863636
39,0.182405,0.945180,0.570601,0.871212
40,0.213349,0.930057,0.609796,0.901515
41,0.207222,0.952741,0.587583,0.901515
42,0.193028,0.945180,0.548698,0.893939
43,0.212912,0.948960,0.561863,0.893939
44,0.173012,0.948960,0.548357,0.886364
45,0.160837,0.958412,0.514343,0.878788
46,0.159495,0.952741,0.682421,0.893939
47,0.145828,0.956522,0.609584,0.893939
48,0.154340,0.948960,0.571709,0.878788
49,0.144370,0.960302,0.606593,0.893939
50,0.172342,0.954631,0.635871,0.893939
