epoch,train_loss,train_acc,val_loss,val_acc
1,1.098200,0.597353,2.826003,0.742424
2,0.657187,0.799622,2.125277,0.780303
3,0.506739,0.816635,0.946059,0.840909
4,0.369713,0.863894,0.740969,0.833333
5,0.338636,0.928166,0.650213,0.765152
6,0.261826,0.933837,0.712544,0.530303
7,0.174088,0.935728,0.597342,0.931818
8,0.142567,0.956522,0.475743,0.886364
9,0.122865,0.952741,0.713840,0.719697
10,0.095278,0.965974,0.716862,0.674242
11,0.107356,0.935728,0.674847,0.909091
12,0.082961,0.979206,0.827914,0.893939
13,0.066034,0.977316,1.255590,0.886364
14,0.100111,0.977316,1.060117,0.893939
15,0.122113,0.941399,1.077711,0.621212
16,0.212741,0.958412,0.630722,0.909091
17,0.153834,0.950851,0.806816,0.863636
18,0.136283,0.965974,0.702151,0.780303
19,0.092970,0.947070,0.685858,0.856061
20,0.089499,0.952741,0.929521,0.893939
21,0.047317,0.984877,0.504275,0.878788
22,0.029495,0.990548,0.508657,0.893939
23,0.019119,0.998110,0.635810,0.909091
24,0.029479,0.998110,1.102576,0.818182
25,0.111627,0.956522,0.620181,0.901515
26,0.042394,0.988658,1.040175,0.568182
27,0.055877,0.984877,1.388104,0.893939
28,0.061615,0.962193,0.741022,0.924242
29,0.035915,0.988658,0.606268,0.871212
30,0.017446,0.998110,0.635837,0.939394
31,0.011106,0.996219,0.896449,0.931818
32,0.006955,0.996219,0.858063,0.924242
33,0.007213,1.000000,0.711626,0.924242
34,0.005209,1.000000,0.596099,0.916667
35,0.004418,1.000000,0.755426,0.924242
36,0.004471,1.000000,0.917955,0.924242
37,0.004014,1.000000,0.779823,0.886364
38,0.013509,0.992439,0.776064,0.916667
39,0.002097,1.000000,1.218444,0.893939
40,0.003294,1.000000,1.230416,0.901515
41,0.001685,1.000000,0.980281,0.909091
42,0.001207,1.000000,0.884714,0.916667
43,0.003448,1.000000,0.795124,0.909091
44,0.011581,0.990548,0.774573,0.901515
45,0.007388,0.994329,0.795637,0.916667
46,0.004774,1.000000,1.118527,0.651515
47,0.034684,0.973535,2.929820,0.833333
48,0.043880,0.994329,2.065394,0.848485
49,0.068070,0.973535,2.256183,0.871212
50,0.041729,0.994329,2.687626,0.606061
51,0.149743,0.982987,3.928033,0.386364
52,0.184806,0.954631,1.945911,0.643939
53,0.242672,0.884688,1.815295,0.681818
54,0.168706,0.924386,0.981415,0.878788
55,0.075649,0.986767,0.828099,0.856061
56,0.060413,0.975425,0.589806,0.681818
57,0.184363,0.958412,1.278013,0.446970
58,0.150134,0.973535,1.123789,0.893939
59,0.177516,0.969754,0.896609,0.787879
60,0.145646,0.948960,0.718174,0.848485
61,0.137581,0.937618,0.659403,0.871212
62,0.096693,0.924386,1.032553,0.590909
63,0.064394,0.984877,1.798689,0.863636
64,0.048255,0.986767,0.984613,0.924242
65,0.026466,0.982987,0.696444,0.909091
66,0.014657,0.996219,0.756412,0.893939
67,0.009744,0.994329,0.739632,0.916667
68,0.005485,1.000000,0.726898,0.931818
69,0.004781,1.000000,0.713062,0.931818
70,0.003131,1.000000,0.709509,0.939394
71,0.002696,1.000000,0.730540,0.939394
72,0.003355,1.000000,0.681614,0.931818
73,0.002534,1.000000,0.729804,0.939394
74,0.001835,1.000000,0.758573,0.939394
75,0.001679,1.000000,0.747505,0.939394
76,0.001570,1.000000,0.746601,0.931818
77,0.000913,1.000000,0.745796,0.939394
78,0.000985,1.000000,0.789260,0.924242
79,0.001712,1.000000,0.787185,0.931818
80,0.000879,1.000000,0.689550,0.916667
81,0.002195,0.998110,0.687146,0.931818
82,0.001526,1.000000,0.790596,0.931818
83,0.001115,1.000000,0.837721,0.916667
84,0.000908,1.000000,0.826855,0.916667
85,0.000974,1.000000,0.883888,0.924242
86,0.000550,1.000000,0.836191,0.924242
87,0.000658,1.000000,0.812337,0.924242
88,0.000544,1.000000,0.827844,0.924242
89,0.000428,1.000000,0.830803,0.924242
90,0.000577,1.000000,0.841919,0.931818
91,0.000836,1.000000,0.846587,0.924242
92,0.000610,1.000000,0.840164,0.931818
93,0.000673,1.000000,0.836473,0.931818
94,0.000694,1.000000,0.817176,0.931818
95,0.000503,1.000000,0.872906,0.924242
96,0.000536,1.000000,0.890420,0.924242
97,0.000346,1.000000,0.888057,0.924242
98,0.000356,1.000000,0.898961,0.931818
99,0.000460,1.000000,0.891573,0.924242
100,0.001806,1.000000,0.858317,0.916667
