epoch,train_loss,train_acc,val_loss,val_acc
1,1.171511,0.194707,1.144869,0.128788
2,0.853752,0.557656,0.960980,0.818182
3,0.739690,0.699433,0.816738,0.848485
4,0.645480,0.784499,0.730664,0.856061
5,0.591298,0.793951,0.690466,0.856061
6,0.528372,0.837429,0.674675,0.863636
7,0.476718,0.873346,0.640719,0.878788
8,0.493553,0.869565,0.632662,0.871212
9,0.440280,0.865784,0.639308,0.878788
10,0.426667,0.884688,0.632485,0.886364
11,0.404004,0.880907,0.630790,0.893939
12,0.390783,0.901701,0.619671,0.878788
13,0.398854,0.877127,0.612690,0.886364
14,0.399478,0.875236,0.611428,0.878788
15,0.395150,0.888469,0.615062,0.893939
16,0.354726,0.909263,0.602458,0.886364
17,0.342400,0.899811,0.602973,0.901515
18,0.357591,0.894140,0.599363,0.901515
19,0.359735,0.907372,0.590447,0.901515
20,0.351679,0.907372,0.592495,0.893939
21,0.355522,0.909263,0.585040,0.893939
22,0.361739,0.892250,0.580404,0.878788
23,0.362453,0.897921,0.583382,0.878788
24,0.333177,0.905482,0.578310,0.878788
25,0.314712,0.907372,0.576534,0.886364
26,0.365903,0.899811,0.574863,0.901515
27,0.318835,0.914934,0.575614,0.901515
28,0.321439,0.913043,0.575580,0.901515
29,0.335227,0.913043,0.577959,0.901515
30,0.307250,0.916824,0.574084,0.901515
31,0.303301,0.928166,0.573708,0.901515
32,0.314405,0.913043,0.573500,0.901515
33,0.309538,0.916824,0.577976,0.901515
34,0.296936,0.920605,0.566577,0.909091
35,0.281574,0.928166,0.570464,0.909091
36,0.292788,0.918715,0.569263,0.909091
37,0.324848,0.911153,0.567609,0.909091
38,0.289552,0.918715,0.571188,0.916667
39,0.319935,0.926276,0.564680,0.909091
40,0.302030,0.916824,0.563081,0.909091
41,0.291062,0.920605,0.560160,0.909091
42,0.278335,0.922495,0.562928,0.909091
43,0.308676,0.907372,0.551939,0.909091
44,0.270314,0.933837,0.555326,0.909091
45,0.263127,0.930057,0.558001,0.909091
46,0.261544,0.935728,0.556761,0.909091
47,0.268378,0.931947,0.556613,0.909091
48,0.275478,0.913043,0.549810,0.909091
49,0.260904,0.928166,0.547088,0.901515
50,0.263200,0.935728,0.550096,0.909091
51,0.263352,0.931947,0.553499,0.909091
52,0.256973,0.941399,0.551552,0.916667
53,0.246334,0.916824,0.552823,0.909091
54,0.245360,0.931947,0.555723,0.901515
55,0.266574,0.916824,0.560209,0.924242
56,0.237267,0.935728,0.554828,0.916667
