epoch,train_loss,train_acc,val_loss,val_acc
1,1.194353,0.291115,1.045234,0.613636
2,0.972695,0.599244,0.923827,0.825758
3,0.880265,0.720227,0.821373,0.810606
4,0.801117,0.697543,0.776493,0.825758
5,0.707490,0.769376,0.733597,0.848485
6,0.685718,0.814745,0.713893,0.848485
7,0.679052,0.797732,0.705154,0.848485
8,0.673745,0.786389,0.692223,0.871212
9,0.648899,0.833648,0.665298,0.878788
10,0.639259,0.824197,0.650992,0.863636
11,0.615766,0.793951,0.649805,0.871212
12,0.561080,0.824197,0.663129,0.833333
13,0.571996,0.816635,0.645437,0.863636
14,0.592109,0.829868,0.670566,0.856061
15,0.564817,0.826087,0.654867,0.878788
16,0.591536,0.833648,0.658679,0.871212
17,0.580756,0.829868,0.654760,0.878788
18,0.557001,0.856333,0.660269,0.863636
19,0.600032,0.826087,0.684810,0.878788
20,0.533772,0.850662,0.701556,0.886364
