epoch,train_loss,train_acc,val_loss,val_acc
1,1.264792,0.228733,1.134897,0.204545
2,1.050641,0.351607,1.002422,0.310606
3,0.943184,0.493384,0.951242,0.719697
4,0.890777,0.568998,0.921742,0.795455
5,0.845196,0.618147,0.885946,0.803030
6,0.792320,0.682420,0.852675,0.825758
7,0.781743,0.665406,0.820676,0.825758
8,0.730562,0.706994,0.806132,0.818182
9,0.740990,0.708885,0.791653,0.825758
10,0.726066,0.708885,0.784561,0.825758
11,0.697370,0.737240,0.779332,0.818182
12,0.708313,0.727788,0.779071,0.825758
13,0.688884,0.746692,0.767795,0.833333
14,0.685001,0.752363,0.757615,0.818182
15,0.725126,0.733459,0.750201,0.818182
16,0.664959,0.756144,0.748705,0.818182
17,0.719753,0.724008,0.746724,0.810606
18,0.662403,0.771267,0.743591,0.810606
19,0.678989,0.767486,0.746081,0.825758
20,0.662807,0.746692,0.745382,0.818182
21,0.645077,0.790170,0.742314,0.818182
22,0.689274,0.761815,0.739969,0.825758
23,0.661620,0.737240,0.734131,0.825758
24,0.646716,0.765595,0.732233,0.825758
25,0.637598,0.748582,0.729288,0.825758
26,0.613839,0.784499,0.728374,0.825758
27,0.638386,0.792060,0.729178,0.833333
28,0.641468,0.759924,0.728484,0.818182
29,0.623653,0.771267,0.725817,0.825758
30,0.618214,0.793951,0.723036,0.825758
31,0.653140,0.775047,0.724655,0.825758
32,0.640212,0.763705,0.721810,0.825758
33,0.648498,0.782609,0.716498,0.818182
34,0.610642,0.790170,0.719457,0.825758
35,0.646805,0.763705,0.714201,0.803030
36,0.593447,0.793951,0.711529,0.810606
37,0.623811,0.780718,0.712202,0.803030
38,0.641133,0.765595,0.708742,0.803030
39,0.632370,0.775047,0.703685,0.803030
40,0.623710,0.765595,0.700926,0.803030
41,0.622713,0.773157,0.698206,0.810606
42,0.581047,0.803403,0.702337,0.803030
43,0.612763,0.773157,0.706242,0.810606
44,0.607455,0.784499,0.702986,0.795455
45,0.637604,0.782609,0.696647,0.795455
46,0.587713,0.803403,0.697258,0.810606
47,0.589831,0.778828,0.693188,0.803030
48,0.599609,0.797732,0.693638,0.803030
49,0.583765,0.788280,0.692956,0.795455
50,0.604625,0.797732,0.689532,0.810606
51,0.618528,0.773157,0.686682,0.818182
52,0.589893,0.786389,0.687840,0.810606
53,0.615534,0.799622,0.686903,0.825758
54,0.610261,0.782609,0.691816,0.795455
55,0.586991,0.812854,0.691348,0.810606
56,0.559909,0.822306,0.694183,0.803030
57,0.620085,0.795841,0.692883,0.810606
58,0.575326,0.822306,0.689519,0.810606
