epoch,train_loss,train_acc,val_loss,val_acc
1,1.468023,0.306238,1.375970,0.265152
2,1.339457,0.351607,1.336753,0.295455
3,1.276808,0.412098,1.254890,0.393939
4,1.235549,0.463138,1.181250,0.446970
5,1.173995,0.459357,1.151975,0.462121
6,1.080935,0.527410,1.093567,0.469697
7,1.097519,0.548204,1.066112,0.583333
8,1.042508,0.570888,1.020505,0.590909
9,1.027781,0.618147,0.995731,0.666667
10,0.993131,0.640832,0.947457,0.757576
11,0.943716,0.631380,0.922287,0.803030
12,0.916575,0.674858,0.898476,0.787879
13,0.886696,0.688091,0.900237,0.765152
14,0.901864,0.693762,0.888537,0.803030
15,0.899469,0.706994,0.877342,0.818182
16,0.857458,0.727788,0.865147,0.833333
17,0.859436,0.754253,0.852442,0.810606
18,0.815976,0.731569,0.841946,0.810606
19,0.829844,0.767486,0.855077,0.840909
20,0.835071,0.742911,0.831973,0.810606
21,0.798479,0.776938,0.810650,0.825758
22,0.805495,0.763705,0.797952,0.825758
23,0.793763,0.776938,0.801728,0.840909
24,0.788871,0.765595,0.778466,0.833333
25,0.729742,0.824197,0.784408,0.818182
26,0.759744,0.790170,0.776996,0.833333
27,0.740525,0.810964,0.773165,0.856061
28,0.743230,0.809074,0.773684,0.863636
29,0.779200,0.792060,0.744682,0.863636
30,0.767735,0.782609,0.743212,0.840909
31,0.713651,0.816635,0.739757,0.871212
32,0.730318,0.807183,0.730536,0.840909
33,0.685220,0.816635,0.723021,0.878788
34,0.676545,0.814745,0.709435,0.871212
35,0.667088,0.837429,0.717511,0.848485
36,0.706953,0.805293,0.718793,0.856061
37,0.646389,0.829868,0.705911,0.871212
38,0.646809,0.837429,0.693353,0.863636
39,0.670579,0.810964,0.708074,0.856061
40,0.685102,0.826087,0.704446,0.878788
41,0.680968,0.827977,0.690768,0.871212
42,0.627130,0.827977,0.719478,0.863636
43,0.615714,0.846881,0.695605,0.871212
44,0.590581,0.854442,0.713443,0.878788
45,0.637359,0.843100,0.686961,0.871212
46,0.656187,0.835539,0.737076,0.878788
47,0.608665,0.862004,0.675694,0.871212
48,0.629408,0.837429,0.677765,0.878788
49,0.637417,0.854442,0.677615,0.878788
50,0.593853,0.854442,0.674152,0.871212
51,0.607380,0.839319,0.671361,0.856061
52,0.639335,0.850662,0.653144,0.878788
53,0.628142,0.833648,0.664477,0.886364
54,0.590598,0.844991,0.650873,0.886364
55,0.576127,0.848771,0.651641,0.886364
56,0.568706,0.860113,0.658451,0.878788
57,0.548563,0.841210,0.647562,0.871212
58,0.565669,0.865784,0.628883,0.878788
59,0.577772,0.875236,0.637508,0.893939
60,0.587216,0.862004,0.653119,0.893939
61,0.562103,0.848771,0.640716,0.886364
62,0.534864,0.879017,0.626424,0.886364
63,0.539090,0.863894,0.667347,0.878788
64,0.557439,0.860113,0.632899,0.901515
65,0.572204,0.854442,0.632380,0.901515
66,0.530221,0.884688,0.649311,0.871212
67,0.558223,0.846881,0.611320,0.886364
68,0.539409,0.865784,0.615638,0.871212
69,0.510286,0.852552,0.610543,0.886364
70,0.556125,0.850662,0.627791,0.871212
71,0.517491,0.863894,0.605974,0.863636
72,0.573858,0.856333,0.610731,0.901515
73,0.502549,0.875236,0.610997,0.886364
74,0.513968,0.863894,0.591210,0.878788
75,0.528657,0.880907,0.615690,0.886364
76,0.531356,0.856333,0.612795,0.893939
77,0.497901,0.884688,0.611485,0.893939
78,0.474734,0.888469,0.623473,0.878788
79,0.518929,0.875236,0.604306,0.878788
80,0.487016,0.884688,0.612913,0.893939
81,0.521470,0.863894,0.618591,0.871212
