epoch,train_loss,train_acc,val_loss,val_acc
1,1.193801,0.474480,1.267626,0.727273
2,0.881918,0.540643,1.127438,0.757576
3,0.780852,0.729679,0.988399,0.787879
4,0.722628,0.792060,0.792882,0.825758
5,0.703620,0.748582,0.712956,0.787879
6,0.646212,0.812854,0.730109,0.810606
7,0.651861,0.843100,0.735203,0.810606
8,0.627213,0.812854,0.768403,0.651515
9,0.556971,0.831758,0.715215,0.757576
10,0.553487,0.869565,0.653710,0.856061
11,0.494604,0.865784,0.599887,0.848485
12,0.520299,0.854442,0.656124,0.734848
13,0.464622,0.882798,0.690976,0.689394
14,0.441169,0.860113,0.610028,0.848485
15,0.428741,0.886578,0.572088,0.878788
16,0.451926,0.843100,0.679106,0.674242
17,0.402025,0.877127,0.572601,0.856061
18,0.394553,0.875236,0.618824,0.719697
19,0.364335,0.877127,0.741617,0.689394
20,0.370004,0.867675,0.589162,0.878788
21,0.365791,0.886578,0.612908,0.878788
22,0.311487,0.894140,0.557659,0.840909
23,0.327075,0.879017,0.577791,0.863636
24,0.333806,0.924386,0.557265,0.856061
25,0.299561,0.913043,0.544670,0.863636
26,0.308980,0.901701,0.583702,0.757576
27,0.279129,0.899811,0.571055,0.893939
28,0.297212,0.913043,0.545593,0.886364
29,0.253573,0.914934,0.583296,0.878788
30,0.267570,0.916824,0.484966,0.886364
31,0.239071,0.894140,0.538235,0.772727
32,0.254419,0.913043,0.521879,0.901515
33,0.233686,0.941399,0.528323,0.878788
34,0.223188,0.918715,0.528042,0.886364
35,0.209940,0.939509,0.535400,0.909091
36,0.208424,0.937618,0.577866,0.757576
37,0.223131,0.907372,0.603156,0.893939
38,0.210352,0.937618,0.504040,0.901515
39,0.178995,0.930057,0.543257,0.757576
40,0.159364,0.943289,0.554877,0.901515
41,0.164524,0.931947,0.595829,0.886364
42,0.182632,0.922495,0.524706,0.893939
43,0.150737,0.948960,0.527781,0.886364
44,0.142325,0.948960,0.539134,0.901515
45,0.161538,0.937618,0.535845,0.848485
46,0.175467,0.920605,0.518060,0.833333
47,0.168831,0.933837,0.609748,0.916667
48,0.152194,0.948960,0.509160,0.909091
49,0.167619,0.956522,0.459726,0.901515
50,0.158662,0.911153,0.474240,0.924242
51,0.137953,0.956522,0.487574,0.916667
52,0.142113,0.945180,0.514539,0.856061
53,0.128081,0.962193,0.894533,0.901515
54,0.128460,0.950851,0.625642,0.780303
55,0.118971,0.945180,0.444051,0.901515
56,0.108899,0.964083,0.454483,0.878788
57,0.107376,0.954631,0.479799,0.924242
58,0.113689,0.947070,0.562424,0.909091
59,0.115098,0.967864,0.525511,0.924242
60,0.079408,0.965974,0.454881,0.909091
61,0.098374,0.947070,0.478130,0.909091
62,0.119620,0.947070,0.640763,0.909091
63,0.110383,0.943289,0.643018,0.916667
64,0.151258,0.890359,0.559819,0.924242
65,0.198533,0.952741,1.600582,0.810606
66,0.154623,0.954631,0.934995,0.901515
67,0.142411,0.960302,0.483776,0.893939
68,0.154744,0.958412,1.257016,0.500000
69,0.179288,0.884688,1.439792,0.462121
70,0.154618,0.920605,0.634813,0.924242
71,0.113679,0.958412,0.814783,0.901515
72,0.096311,0.969754,0.906218,0.901515
73,0.076776,0.975425,0.601495,0.916667
74,0.083552,0.979206,0.490132,0.886364
75,0.096146,0.952741,0.556449,0.886364
76,0.076932,0.962193,0.646358,0.916667
77,0.080357,0.981096,0.637301,0.833333
78,0.069934,0.973535,0.656088,0.818182
79,0.134062,0.909263,0.741042,0.734848
80,0.106471,0.930057,0.709153,0.916667
81,0.069094,0.986767,0.527775,0.916667
82,0.074387,0.986767,0.617404,0.901515
83,0.059419,0.986767,0.645865,0.909091
84,0.065964,0.977316,0.603771,0.901515
85,0.060392,0.967864,0.519036,0.886364
86,0.059184,0.971645,0.514394,0.939394
87,0.073486,0.979206,0.728116,0.878788
88,0.047738,0.981096,0.664559,0.840909
89,0.050195,0.988658,0.549916,0.893939
90,0.050679,0.984877,0.591856,0.909091
91,0.147163,0.971645,0.661053,0.924242
92,0.091014,0.988658,0.716069,0.893939
93,0.104133,0.948960,0.547525,0.901515
94,0.070091,0.967864,0.537068,0.901515
95,0.079194,0.962193,0.646450,0.727273
96,0.107937,0.971645,0.836833,0.901515
97,0.068326,0.973535,0.890742,0.916667
98,0.067100,0.965974,0.813640,0.909091
99,0.054099,0.984877,0.642566,0.924242
100,0.050061,0.992439,0.558739,0.886364
