epoch,train_loss,train_acc,val_loss,val_acc
1,0.993388,0.576560,1.149702,0.765152
2,0.714068,0.761815,1.001180,0.825758
3,0.553019,0.758034,0.723652,0.833333
4,0.505889,0.841210,0.634722,0.863636
5,0.459059,0.809074,0.748206,0.613636
6,0.438184,0.824197,0.583018,0.886364
7,0.378695,0.875236,0.492011,0.878788
8,0.334533,0.892250,0.506721,0.871212
9,0.286847,0.901701,0.521947,0.848485
10,0.288882,0.914934,0.514032,0.901515
11,0.270743,0.920605,0.544149,0.909091
12,0.268275,0.916824,0.545620,0.909091
13,0.233964,0.928166,0.538769,0.909091
14,0.235152,0.941399,0.510937,0.909091
