epoch,train_loss,train_acc,val_loss,val_acc
1,0.992267,0.595463,1.671052,0.727273
2,0.614345,0.799622,1.172978,0.795455
3,0.490595,0.841210,0.911134,0.848485
4,0.423297,0.886578,0.593723,0.848485
5,0.379621,0.886578,0.598157,0.856061
6,0.284198,0.897921,0.547248,0.901515
7,0.251385,0.928166,0.520940,0.886364
8,0.241866,0.943289,0.554758,0.878788
9,0.250715,0.924386,0.566747,0.901515
10,0.185885,0.943289,0.558252,0.901515
11,0.182908,0.948960,0.568319,0.901515
12,0.191038,0.947070,0.533642,0.909091
13,0.201700,0.930057,0.516290,0.909091
14,0.168137,0.937618,0.517584,0.909091
15,0.160606,0.939509,0.551029,0.909091
16,0.158904,0.952741,0.567024,0.901515
17,0.162017,0.960302,0.546250,0.893939
18,0.145162,0.958412,0.538587,0.909091
19,0.156926,0.947070,0.542800,0.909091
20,0.138522,0.962193,0.541162,0.901515
