epoch,train_loss,train_acc,val_loss,val_acc
1,1.353129,0.449905,1.036346,0.280303
2,1.062663,0.472590,1.082651,0.689394
3,0.928419,0.548204,1.021077,0.765152
4,0.862351,0.642722,0.959620,0.810606
5,0.819864,0.705104,0.892529,0.787879
6,0.745874,0.731569,0.852296,0.795455
7,0.720396,0.776938,0.820842,0.810606
8,0.658171,0.814745,0.792240,0.825758
9,0.655746,0.805293,0.770010,0.840909
10,0.676638,0.784499,0.739711,0.856061
11,0.648742,0.835539,0.718265,0.871212
12,0.574560,0.812854,0.707845,0.878788
13,0.625685,0.810964,0.702742,0.886364
14,0.635685,0.790170,0.694443,0.856061
15,0.607617,0.799622,0.690197,0.848485
16,0.601743,0.820416,0.688905,0.863636
17,0.607379,0.824197,0.690261,0.863636
18,0.569710,0.824197,0.686546,0.871212
19,0.597360,0.814745,0.685830,0.863636
20,0.555850,0.837429,0.682867,0.863636
21,0.584991,0.835539,0.684814,0.871212
22,0.593313,0.824197,0.684857,0.878788
23,0.559228,0.816635,0.680643,0.878788
24,0.562285,0.835539,0.674752,0.863636
25,0.582400,0.826087,0.672357,0.863636
26,0.581376,0.810964,0.672626,0.856061
27,0.579197,0.818526,0.669010,0.863636
28,0.590364,0.824197,0.668479,0.848485
29,0.576815,0.833648,0.666339,0.863636
30,0.595673,0.824197,0.665645,0.886364
31,0.540492,0.827977,0.660224,0.871212
32,0.553629,0.837429,0.659182,0.863636
33,0.564372,0.812854,0.657872,0.878788
34,0.542837,0.829868,0.657886,0.878788
35,0.558636,0.831758,0.649235,0.871212
36,0.542690,0.843100,0.650493,0.871212
37,0.517726,0.846881,0.653804,0.863636
38,0.566028,0.852552,0.647744,0.871212
39,0.574497,0.824197,0.644868,0.871212
40,0.515811,0.833648,0.644344,0.886364
41,0.551745,0.826087,0.642626,0.878788
42,0.533682,0.858223,0.646682,0.886364
43,0.529750,0.826087,0.643964,0.886364
44,0.508940,0.837429,0.637890,0.871212
45,0.555081,0.852552,0.635305,0.871212
46,0.539330,0.827977,0.633875,0.878788
47,0.576937,0.839319,0.636196,0.878788
48,0.506170,0.867675,0.636338,0.886364
49,0.520617,0.854442,0.632054,0.893939
50,0.504246,0.852552,0.627641,0.893939
51,0.577523,0.827977,0.624835,0.893939
52,0.504959,0.869565,0.621208,0.878788
53,0.485904,0.867675,0.623496,0.878788
54,0.532440,0.844991,0.621948,0.886364
55,0.539798,0.839319,0.622355,0.878788
56,0.535873,0.848771,0.621389,0.871212
57,0.525178,0.858223,0.618338,0.893939
58,0.485750,0.865784,0.615880,0.878788
59,0.489535,0.843100,0.617712,0.893939
60,0.494201,0.862004,0.614893,0.893939
61,0.478213,0.858223,0.613443,0.871212
62,0.507690,0.854442,0.609166,0.878788
63,0.478701,0.860113,0.609227,0.871212
64,0.498109,0.865784,0.610611,0.878788
65,0.487803,0.860113,0.604481,0.871212
66,0.468738,0.858223,0.604293,0.893939
67,0.454351,0.867675,0.599272,0.886364
68,0.447731,0.890359,0.597004,0.878788
69,0.466574,0.865784,0.598178,0.871212
70,0.472500,0.829868,0.599602,0.893939
71,0.479840,0.863894,0.596776,0.878788
72,0.495181,0.858223,0.598260,0.878788
73,0.496967,0.862004,0.594592,0.878788
74,0.446534,0.873346,0.593073,0.886364
75,0.490636,0.862004,0.594405,0.886364
76,0.502224,0.879017,0.596512,0.893939
77,0.457965,0.858223,0.590609,0.863636
78,0.487268,0.867675,0.591785,0.878788
79,0.433997,0.880907,0.595373,0.878788
80,0.447798,0.879017,0.587879,0.878788
81,0.455854,0.888469,0.586787,0.886364
82,0.450336,0.879017,0.588890,0.878788
83,0.484811,0.858223,0.589431,0.878788
84,0.449358,0.875236,0.582744,0.871212
85,0.440589,0.879017,0.580694,0.878788
86,0.423306,0.877127,0.583283,0.871212
87,0.433860,0.879017,0.586863,0.886364
88,0.453259,0.869565,0.579350,0.863636
89,0.486579,0.873346,0.581871,0.863636
90,0.465527,0.863894,0.584276,0.871212
91,0.425913,0.879017,0.584271,0.863636
92,0.442824,0.877127,0.585257,0.886364
93,0.432678,0.879017,0.582965,0.886364
94,0.464433,0.873346,0.583413,0.893939
95,0.454496,0.856333,0.575072,0.863636
96,0.448633,0.867675,0.579603,0.886364
97,0.466973,0.858223,0.574711,0.871212
98,0.424342,0.873346,0.572797,0.886364
99,0.423319,0.896030,0.577987,0.878788
100,0.407652,0.890359,0.583052,0.886364
