epoch,train_loss,train_acc,val_loss,val_acc
1,0.932575,0.629490,1.486626,0.734848
2,0.710909,0.697543,1.222655,0.780303
3,0.574344,0.837429,0.827941,0.833333
4,0.463093,0.850662,0.721232,0.787879
5,0.372064,0.879017,0.534578,0.871212
6,0.349163,0.914934,0.525385,0.848485
7,0.300411,0.903592,0.597806,0.742424
8,0.270970,0.918715,0.597642,0.696970
9,0.258751,0.930057,0.630577,0.719697
10,0.221924,0.913043,0.457183,0.893939
11,0.190888,0.928166,0.460877,0.871212
12,0.142695,0.965974,0.492753,0.924242
13,0.147086,0.965974,0.480525,0.840909
14,0.109113,0.977316,0.462069,0.924242
15,0.122621,0.975425,0.502505,0.878788
16,0.105996,0.973535,0.569402,0.863636
17,0.084228,0.973535,0.541137,0.909091
18,0.083108,0.977316,0.466875,0.924242
19,0.073502,0.981096,0.492904,0.886364
