epoch,train_loss,train_acc,val_loss,val_acc
1,1.106466,0.695652,1.502794,0.727273
2,0.768274,0.739130,0.879499,0.856061
3,0.600543,0.858223,0.709404,0.848485
4,0.534472,0.875236,0.698338,0.780303
5,0.477134,0.869565,0.813694,0.696970
6,0.428762,0.901701,0.619069,0.863636
7,0.387798,0.897921,0.614382,0.825758
8,0.343841,0.877127,0.566312,0.886364
9,0.289019,0.935728,0.716140,0.575758
10,0.256169,0.930057,0.542935,0.871212
11,0.254970,0.941399,0.496196,0.863636
12,0.215299,0.945180,0.572021,0.750000
