epoch,train_loss,train_acc,val_loss,val_acc
1,1.113812,0.442344,1.168451,0.727273
2,0.910193,0.589792,1.242852,0.757576
3,0.779884,0.746692,1.014582,0.787879
4,0.681937,0.776938,0.929146,0.818182
5,0.608208,0.839319,0.826585,0.825758
6,0.585018,0.837429,0.696236,0.795455
7,0.518091,0.824197,0.626995,0.856061
8,0.516453,0.839319,0.643940,0.848485
9,0.491309,0.862004,0.672985,0.787879
10,0.489833,0.826087,0.670662,0.803030
11,0.479457,0.882798,0.603669,0.863636
12,0.444161,0.871456,0.608703,0.810606
13,0.426979,0.879017,0.593998,0.840909
14,0.414911,0.896030,0.641965,0.848485
15,0.392918,0.899811,0.589508,0.878788
16,0.349728,0.888469,0.572061,0.734848
17,0.344540,0.894140,0.572933,0.886364
18,0.366863,0.909263,0.569916,0.886364
19,0.300921,0.896030,0.591305,0.840909
20,0.295589,0.909263,0.535323,0.893939
21,0.286090,0.930057,0.549534,0.795455
22,0.311560,0.920605,0.533595,0.833333
23,0.275522,0.918715,0.639449,0.856061
24,0.303919,0.916824,0.539359,0.886364
25,0.254508,0.933837,0.554479,0.856061
26,0.266110,0.909263,0.541538,0.871212
27,0.238984,0.931947,0.554558,0.871212
28,0.251192,0.939509,0.538278,0.871212
29,0.219712,0.924386,0.537463,0.916667
30,0.224734,0.943289,0.519866,0.871212
31,0.235096,0.896030,0.583581,0.772727
32,0.208866,0.920605,0.558704,0.924242
33,0.199211,0.950851,0.465482,0.909091
34,0.195674,0.943289,0.525021,0.901515
35,0.172822,0.941399,0.516408,0.909091
36,0.190906,0.954631,0.458226,0.878788
37,0.175114,0.945180,0.556769,0.840909
38,0.156863,0.962193,0.491626,0.886364
39,0.152353,0.958412,0.480963,0.856061
40,0.145844,0.933837,0.442833,0.856061
41,0.196431,0.943289,0.427081,0.909091
42,0.168223,0.939509,0.508362,0.878788
43,0.180588,0.939509,0.473109,0.893939
44,0.169406,0.954631,0.510231,0.878788
45,0.159653,0.969754,0.521204,0.863636
46,0.115051,0.969754,0.433725,0.901515
47,0.115475,0.969754,0.444635,0.893939
48,0.152965,0.939509,0.392870,0.878788
49,0.116853,0.975425,0.384371,0.886364
50,0.116784,0.975425,0.425091,0.886364
