epoch,train_loss,train_acc,val_loss,val_acc
1,1.203466,0.357278,1.268918,0.727273
2,0.922836,0.512287,1.137750,0.750000
3,0.799276,0.769376,0.993670,0.795455
4,0.685883,0.829868,0.803171,0.833333
5,0.639294,0.797732,0.746042,0.856061
6,0.605928,0.869565,0.668095,0.840909
7,0.563483,0.871456,0.642642,0.856061
8,0.513756,0.892250,0.554358,0.856061
9,0.508572,0.852552,0.686337,0.727273
10,0.460432,0.873346,0.613082,0.863636
11,0.429551,0.884688,0.563624,0.893939
12,0.470496,0.880907,0.727731,0.848485
13,0.425351,0.897921,0.679853,0.871212
14,0.385044,0.903592,0.481729,0.909091
15,0.343404,0.913043,0.507509,0.848485
16,0.326332,0.914934,0.502464,0.742424
17,0.354997,0.901701,0.517845,0.833333
18,0.317243,0.924386,0.464168,0.909091
19,0.297825,0.928166,0.487480,0.901515
20,0.331399,0.905482,0.471321,0.856061
21,0.262219,0.939509,0.459072,0.924242
22,0.320390,0.892250,0.491497,0.931818
23,0.271730,0.926276,0.549277,0.901515
24,0.264022,0.943289,0.494069,0.772727
25,0.261157,0.909263,0.427667,0.893939
26,0.236102,0.924386,0.507036,0.901515
27,0.212447,0.922495,0.481575,0.931818
28,0.203913,0.941399,0.464347,0.931818
29,0.214588,0.945180,0.440786,0.886364
30,0.225522,0.911153,0.381695,0.909091
31,0.191601,0.937618,0.432249,0.931818
32,0.179847,0.950851,0.515922,0.916667
33,0.169483,0.937618,0.443914,0.946970
34,0.186816,0.937618,0.473900,0.871212
35,0.223018,0.945180,0.548007,0.909091
36,0.172361,0.937618,0.422144,0.863636
37,0.149097,0.952741,0.425897,0.893939
38,0.166005,0.950851,0.546552,0.840909
39,0.140035,0.947070,0.420050,0.946970
40,0.129784,0.950851,0.435768,0.931818
41,0.125785,0.971645,0.471949,0.931818
42,0.152352,0.943289,0.465676,0.954545
43,0.130890,0.962193,0.446393,0.818182
44,0.136007,0.941399,0.510978,0.916667
45,0.124992,0.958412,0.490620,0.946970
46,0.105519,0.965974,0.597411,0.924242
47,0.121540,0.960302,0.481092,0.939394
48,0.100809,0.975425,0.394213,0.901515
49,0.086039,0.973535,0.382513,0.909091
50,0.080441,0.982987,0.426118,0.924242
