epoch,train_loss,train_acc,val_loss,val_acc
1,1.149430,0.531191,1.397255,0.727273
2,0.910847,0.620038,1.230855,0.757576
3,0.799986,0.716446,1.001092,0.795455
4,0.661175,0.771267,0.853117,0.848485
5,0.630180,0.846881,0.685182,0.878788
6,0.584314,0.833648,0.696036,0.833333
7,0.542909,0.809074,0.786537,0.840909
8,0.518862,0.844991,0.732322,0.787879
9,0.505602,0.827977,0.661622,0.840909
10,0.462612,0.879017,0.603534,0.856061
11,0.456324,0.873346,0.597484,0.840909
12,0.456676,0.856333,0.641769,0.765152
