epoch,train_loss,train_acc,val_loss,val_acc
1,1.193801,0.474480,1.267626,0.727273
2,0.881918,0.540643,1.127438,0.757576
3,0.780852,0.729679,0.988399,0.787879
4,0.722628,0.792060,0.792882,0.825758
5,0.703620,0.748582,0.712956,0.787879
6,0.646212,0.812854,0.730109,0.810606
7,0.651861,0.843100,0.735203,0.810606
8,0.627213,0.812854,0.768403,0.651515
9,0.557973,0.829868,0.698749,0.780303
10,0.556596,0.850662,0.657404,0.840909
11,0.506184,0.863894,0.618734,0.863636
12,0.536905,0.858223,0.615534,0.848485
13,0.495971,0.871456,0.640645,0.780303
14,0.478649,0.862004,0.621650,0.825758
15,0.478575,0.858223,0.588125,0.893939
16,0.484442,0.837429,0.627424,0.772727
17,0.460076,0.862004,0.595765,0.856061
18,0.451663,0.860113,0.595224,0.818182
19,0.420002,0.880907,0.662611,0.765152
20,0.419433,0.860113,0.609126,0.833333
21,0.425161,0.879017,0.578712,0.886364
22,0.383362,0.879017,0.563839,0.878788
