epoch,train_loss,train_acc,val_loss,val_acc
1,1.199048,0.436673,1.407317,0.734848
2,0.863134,0.678639,1.256754,0.757576
3,0.785543,0.725898,0.994496,0.795455
4,0.679845,0.795841,0.821193,0.810606
5,0.652639,0.809074,0.839896,0.848485
6,0.616904,0.809074,0.744902,0.795455
7,0.608180,0.803403,0.748459,0.772727
8,0.582768,0.812854,0.767148,0.818182
9,0.540079,0.854442,0.668087,0.818182
10,0.536049,0.846881,0.660213,0.825758
11,0.493416,0.862004,0.663888,0.825758
12,0.501527,0.869565,0.658594,0.840909
13,0.499450,0.869565,0.633950,0.840909
14,0.504391,0.856333,0.616670,0.825758
15,0.474541,0.858223,0.622877,0.833333
16,0.465070,0.877127,0.640053,0.848485
17,0.495384,0.869565,0.636823,0.840909
18,0.494235,0.860113,0.624208,0.840909
19,0.495840,0.846881,0.620968,0.833333
20,0.464207,0.860113,0.617718,0.840909
21,0.466393,0.856333,0.615394,0.833333
22,0.454450,0.877127,0.611922,0.833333
23,0.492814,0.863894,0.614201,0.848485
24,0.460078,0.863894,0.609197,0.840909
25,0.464031,0.875236,0.615207,0.856061
26,0.442165,0.865784,0.614877,0.840909
27,0.491213,0.846881,0.614941,0.833333
28,0.478984,0.858223,0.610281,0.840909
29,0.483410,0.852552,0.614962,0.848485
30,0.472321,0.860113,0.612976,0.848485
31,0.458389,0.877127,0.603606,0.840909
32,0.469265,0.854442,0.607715,0.856061
33,0.456455,0.871456,0.605259,0.848485
34,0.451678,0.854442,0.616532,0.848485
35,0.463759,0.884688,0.612066,0.848485
36,0.466084,0.873346,0.605798,0.848485
37,0.492769,0.850662,0.601646,0.848485
38,0.464771,0.867675,0.598100,0.848485
39,0.466555,0.875236,0.606811,0.848485
40,0.475842,0.844991,0.602204,0.848485
41,0.484800,0.863894,0.601666,0.848485
42,0.444742,0.867675,0.601859,0.856061
43,0.466567,0.863894,0.604688,0.848485
44,0.447118,0.877127,0.600878,0.848485
45,0.445663,0.867675,0.612428,0.840909
