epoch,train_loss,train_acc,val_loss,val_acc
1,1.163590,0.368620,1.413408,0.734848
2,0.883890,0.693762,1.182036,0.772727
3,0.795101,0.729679,0.933610,0.787879
4,0.697831,0.784499,0.790516,0.848485
5,0.659203,0.799622,0.733623,0.848485
6,0.628846,0.835539,0.628560,0.871212
7,0.586409,0.867675,0.594551,0.856061
8,0.558477,0.820416,0.641230,0.848485
9,0.510330,0.871456,0.639583,0.810606
10,0.479994,0.865784,0.547087,0.848485
11,0.466529,0.880907,0.529753,0.871212
12,0.445249,0.894140,0.532320,0.886364
13,0.455343,0.875236,0.549323,0.787879
14,0.438878,0.848771,0.546982,0.803030
15,0.438597,0.884688,0.513459,0.878788
16,0.375852,0.913043,0.528944,0.878788
17,0.377912,0.886578,0.537392,0.871212
18,0.357749,0.888469,0.516191,0.878788
19,0.378554,0.894140,0.508910,0.871212
