epoch,train_loss,train_acc,val_loss,val_acc
1,1.487284,0.179584,1.077751,0.636364
2,0.993269,0.550095,1.102432,0.750000
3,0.837391,0.722117,1.057920,0.795455
4,0.733240,0.756144,0.859760,0.863636
5,0.675393,0.782609,0.709800,0.871212
6,0.599738,0.803403,0.691221,0.856061
7,0.537867,0.848771,0.769725,0.787879
8,0.548457,0.841210,0.755726,0.765152
9,0.504092,0.848771,0.624689,0.765152
10,0.478527,0.841210,0.583405,0.840909
11,0.452982,0.846881,0.597872,0.856061
12,0.434967,0.882798,0.621590,0.856061
