epoch,train_loss,train_acc,val_loss,val_acc
1,1.264438,0.534972,2.259146,0.318182
2,0.748655,0.778828,0.984052,0.772727
3,0.480891,0.839319,0.480034,0.901515
4,0.405715,0.871456,0.822080,0.878788
5,0.271001,0.911153,0.766789,0.878788
6,0.232413,0.905482,0.420626,0.871212
7,0.219657,0.920605,0.579214,0.886364
8,0.161892,0.916824,0.743119,0.886364
9,0.149006,0.943289,0.572387,0.924242
10,0.117135,0.960302,0.524604,0.916667
11,0.124250,0.947070,0.497808,0.909091
12,0.126375,0.948960,0.500599,0.916667
13,0.100694,0.964083,0.542747,0.893939
14,0.112377,0.941399,0.596411,0.924242
15,0.093454,0.964083,0.586547,0.924242
16,0.084251,0.971645,0.539232,0.916667
17,0.081451,0.962193,0.544756,0.916667
18,0.076074,0.954631,0.557521,0.909091
19,0.063158,0.965974,0.557400,0.909091
20,0.061651,0.971645,0.551899,0.909091
21,0.064533,0.979206,0.567551,0.916667
22,0.049627,0.979206,0.563262,0.916667
23,0.055588,0.984877,0.572476,0.916667
24,0.051432,0.986767,0.584923,0.916667
25,0.058909,0.981096,0.578819,0.909091
26,0.049899,0.979206,0.543508,0.916667
27,0.053023,0.984877,0.561627,0.924242
28,0.054152,0.979206,0.549890,0.924242
29,0.044853,0.988658,0.546548,0.916667
30,0.049572,0.982987,0.548777,0.931818
